Site #,Site Status,Site Activation Date,State,Country
43836,Selected,,CA,USA
43835,Selected,,CA,USA
43835,Selected,,CA,USA
43835,Selected,,CA,USA
43835,Selected,,CA,USA
43834,Selected,,CA,USA
43834,Selected,,CA,USA
43834,Selected,,CA,USA
43832,Selected,,CA,USA
43832,Selected,,CA,USA
43832,Selected,,CA,USA
43831,Selected,,CA,USA
43831,Selected,,CA,USA
43829,Selected,,TX,USA
43829,Selected,,TX,USA
43829,Selected,,TX,USA
43829,Selected,,TX,USA
43828,Enrolling,18-May-2017,CO,USA
43828,Enrolling,18-May-2017,CO,USA
43828,Enrolling,18-May-2017,CO,USA
43828,Enrolling,18-May-2017,CO,USA
43827,Enrolling,05-Jan-2017,FL,USA
43827,Enrolling,05-Jan-2017,FL,USA
43827,Enrolling,05-Jan-2017,FL,USA
43827,Enrolling,05-Jan-2017,FL,USA
43827,Enrolling,05-Jan-2017,FL,USA
43827,Enrolling,05-Jan-2017,FL,USA
43825,Enrolling,20-Jul-2017,OH,USA
43825,Enrolling,20-Jul-2017,OH,USA
43825,Enrolling,20-Jul-2017,OH,USA
43825,Enrolling,20-Jul-2017,OH,USA
43825,Enrolling,20-Jul-2017,OH,USA
43825,Enrolling,20-Jul-2017,OH,USA
43822,Enrolling,06-Feb-2017,MI,USA
43822,Enrolling,06-Feb-2017,MI,USA
43822,Enrolling,06-Feb-2017,MI,USA
43822,Enrolling,06-Feb-2017,MI,USA
43822,Enrolling,06-Feb-2017,MI,USA
43820,Enrolling,10-Apr-2017,TX,USA
43820,Enrolling,10-Apr-2017,TX,USA
43820,Enrolling,10-Apr-2017,TX,USA
43820,Enrolling,10-Apr-2017,TX,USA
43820,Enrolling,10-Apr-2017,TX,USA
43820,Enrolling,10-Apr-2017,TX,USA
43818,Enrolling,18-Dec-2016,VA,USA
43818,Enrolling,18-Dec-2016,VA,USA
43818,Enrolling,18-Dec-2016,VA,USA
43818,Enrolling,18-Dec-2016,VA,USA
43816,Enrolling,13-Feb-2017,MI,USA
43816,Enrolling,13-Feb-2017,MI,USA
43816,Enrolling,13-Feb-2017,MI,USA
43816,Enrolling,13-Feb-2017,MI,USA
43816,Enrolling,13-Feb-2017,MI,USA
43816,Enrolling,13-Feb-2017,MI,USA
43816,Enrolling,13-Feb-2017,MI,USA
